"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.0010401050002234,1.06075394435737,0.275,0.15,1,"Hexim1"
0.00105527383220111,-1.05169636750223,0.105,0.235,1,"Slc48a1"
0.00112131228526245,-0.674290269671096,0.34,0.51,1,"Hnrnpa0"
0.00115305270558344,-1.0282165500771,0.19,0.335,1,"Ergic3"
0.00119343830153838,-1.55959698425113,0.1,0.21,1,"Gm47283"
0.00119675778397181,0.265295635705321,1,0.995,1,"Rps25"
0.00133476709152378,0.511347187095547,0.81,0.79,1,"Dnaja1"
0.00140488641252633,-1.69598896137859,0.055,0.15,1,"Snx29"
0.00140510731077819,-0.982783172779793,0.155,0.29,1,"Eprs"
0.00141648340274472,-0.380333248441568,0.655,0.825,1,"Ppib"
0.00143368382770551,0.705736221789466,0.49,0.35,1,"Snrpf"
0.00144658047552591,-0.562963882681577,0.505,0.655,1,"Atp6v0e"
0.00151643865115059,-1.45075199512613,0.04,0.13,1,"Taz"
0.00161552721825315,0.737083945511702,0.345,0.215,1,"Eea1"
0.00170055769032425,-0.784065088427217,0.48,0.605,1,"Smdt1"
0.00172975259218988,-0.662360410251063,0.29,0.425,1,"Fxr1"
0.00177559227514483,-1.0864145088426,0.075,0.175,1,"Sox4"
0.00182580949415705,-0.71458963914607,0.6,0.705,1,"Timp2"
0.00184774080161852,-1.08853457323112,0.21,0.335,1,"Mif"
0.00185924591046544,0.417135089885309,0.675,0.55,1,"Slc15a3"
0.00186702247339998,-0.926053027140616,0.165,0.3,1,"Ctla2b"
0.00190117323389124,0.485417339308999,0.74,0.605,1,"Lst1"
0.00199192058153129,-0.537134716524164,0.645,0.735,1,"Tmem59"
0.00212072659281277,-1.97063842605356,0.025,0.1,1,"Ccnd3"
0.00217950871746582,1.56347942088591,0.125,0.04,1,"Ing5"
0.00219183615761544,-0.755589640223195,0.335,0.465,1,"Snx6"
0.00219680593807062,0.646811975275374,0.49,0.365,1,"Tbca"
0.00220135070299303,0.73271158169971,0.45,0.325,1,"Ppp1r10"
0.0024622531213401,0.449818141312843,0.52,0.34,1,"Cd72"
0.00246405693159457,0.961936569611723,0.215,0.105,1,"Hvcn1"
0.00248597617301138,0.490400394160556,0.71,0.615,1,"Hmgb2"
0.00262691954839398,-1.40639353747909,0.08,0.18,1,"Tmem223"
0.00262697947494096,-0.741737937730711,0.43,0.545,1,"Ms4a6b"
0.002632225891671,-1.60310982784875,0.035,0.115,1,"Slc36a1"
0.00275018721292032,-0.431872018418775,0.59,0.715,1,"Ssr4"
0.00284722664398313,-0.446605230328704,0.555,0.72,1,"Dstn"
0.00295691859941895,1.12389685516036,0.185,0.085,1,"Cnppd1"
0.0030080853868289,-0.99208814577812,0.205,0.32,1,"Lap3"
0.00302267300748433,-0.483142443853543,0.635,0.745,1,"Cox5a"
0.00303922985494223,0.486121623430643,0.505,0.355,1,"Ptpre"
0.00325884741107595,-0.344834658721145,0.95,0.97,1,"Cox4i1"
0.00332212097915723,-1.04954207356843,0.1,0.21,1,"Peak1"
0.00332414006510334,-0.253354800647137,0.995,0.995,1,"Tyrobp"
0.00340958175613281,1.20224717689141,0.215,0.11,1,"Tlr1"
0.00345833502751759,-1.35022088230347,0.06,0.15,1,"Gsdmd"
0.00355246373633414,1.19361674550746,0.185,0.085,1,"Hist1h4d"
0.00363710038059782,-1.6791278174497,0.035,0.11,1,"Kif1bp"
0.0036408255555459,-0.813791024072257,0.27,0.4,1,"Igf1"
0.00367810834518985,-0.318621819712318,0.945,0.995,1,"Rpl29"
0.00369429599737876,-0.433308977869105,0.835,0.86,1,"Sat1"
0.00373983096389803,0.491168210439561,0.525,0.375,1,"Rbpj"
0.00374892790142187,-1.12400847896862,0.11,0.215,1,"Cacna1d"
0.00376565803658941,1.14262978846187,0.275,0.165,1,"Zbtb20"
0.00379918248152419,0.993734486260663,0.24,0.135,1,"Ssrp1"
0.00380362811799666,-1.23308258636574,0.09,0.19,1,"Hist1h2bc"
0.00381241868538059,-0.407241440581414,0.475,0.625,1,"D8Ertd738e"
0.00395569395710433,-1.4452378818797,0.085,0.18,1,"Nr4a2"
0.00395983312003038,-2.11362065157316,0.03,0.1,1,"Carhsp1"
0.00397700162093855,-1.40162619724941,0.08,0.175,1,"Brd3"
0.00406684039485619,-0.446258676143413,0.555,0.665,1,"Atp6v1g1"
0.00410154107455247,-1.05251749277812,0.085,0.185,1,"Bad"
0.0041355857412719,-1.52708843845597,0.035,0.11,1,"Cdyl"
