"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.34711849918808e-07,0.584498222052436,0.69,0.39,0.0159496740766097,"28","Psmd12"
6.37540383896766e-07,0.978781361091563,0.5,0.275,0.0160207523069418,"28","Siva1"
6.39436223113984e-07,0.771963984106353,0.4,0.175,0.0160683928506313,"28","Tgs1"
6.50210262365993e-07,0.638866230069038,0.6,0.334,0.016339133682995,"28","Med28"
6.92083687065584e-07,1.57672412302901,0.27,0.111,0.0173913709722711,"28","Mcm4"
6.9827617834567e-07,0.736551613940287,0.45,0.217,0.0175469820856483,"28","Snrnp48"
7.14158534591528e-07,1.04587073635914,0.34,0.151,0.0179460898157505,"28","Mdm2"
7.19937135163716e-07,0.603739324891402,0.71,0.413,0.018091300269529,"28","Cwc15"
7.35621290395729e-07,0.876832149178627,0.4,0.189,0.0184854274063543,"28","Exosc3"
7.54538881103826e-07,0.61906678917619,0.48,0.246,0.018960807543258,"28","Kdm6b"
7.69254196759725e-07,1.12327213895466,0.27,0.104,0.0193305887103751,"28","Kdm2b"
7.8471800863278e-07,1.21575840284672,0.26,0.1,0.0197191788389331,"28","Med14"
8.02235669395348e-07,0.93388319457479,0.35,0.153,0.0201593801362357,"28","Taf11"
8.30392371291849e-07,0.356509118885554,1,0.976,0.0208669298981929,"28","Rpl7"
8.32827023451375e-07,0.970899218856172,0.34,0.145,0.0209281102723096,"28","Ndufaf2"
8.46048002883153e-07,1.08534902396122,0.3,0.123,0.0212603402644507,"28","Exosc1"
8.47975888737918e-07,0.501607538142254,0.39,0.181,0.0213087861080951,"28","Rcor1"
8.53521607419261e-07,0.806409275536491,0.43,0.205,0.0214481444728386,"28","Mllt3"
8.56263997097033e-07,1.03073059394564,0.39,0.178,0.0215170579830514,"28","Ipo7"
8.57645092469813e-07,0.716041154382945,0.47,0.229,0.0215517635286739,"28","Rad50"
